condition1,trialNo,stim1,accuracy,RT,participant,early_late_acquisition,language,congruency
congruent_span,2,apple_MANZANA,1,789,1953,late,span,cong
incongruent_eng,3,apple_MEAT,1,787,1953,late,eng,incong
incongruent_span,4,apple_QUESO,1,1389,1953,late,span,incong
congruent_eng,5,bird_BIRD,1,627,1953,late,eng,cong
incongruent_eng,6,bird_DOG,1,757,1953,late,eng,incong
congruent_span,7,bird_PAJARO,1,1006,1953,late,span,cong
incongruent_span,8,bird_PERRO,1,614,1953,late,span,incong
congruent_eng,9,cat-CAT,1,734,1953,late,eng,cong
incongruent_eng,10,cat_DOG,1,789,1953,late,eng,incong
incongruent_span,11,cat_PERRO,1,823,1953,late,span,incong
congruent_span,12,cat_GATO,1,687,1953,late,span,cong
incongruent_eng,13,cheese_APPLE,1,827,1953,late,eng,incong
congruent_eng,14,cheese_CHEESE,1,599,1953,late,eng,cong
incongruent_span,15,cheese_MANZANA,1,777,1953,late,span,incong
congruent_span,16,cheese_QUESO,1,739,1953,late,span,cong
congruent_eng,17,cow_COW,1,639,1953,late,eng,cong
incongruent_eng,18,cow_BIRD,1,781,1953,late,eng,incong
congruent_span,19,cow_VACA,1,690,1953,late,span,cong
incongruent_span,20,cow_PAJARO,1,899,1953,late,span,incong
congruent_eng,21,dog_DOG,1,614,1953,late,eng,cong
congruent_span,22,dog_PERRO,1,746,1953,late,span,cong
incongruent_eng,23,dog_CAT,1,775,1953,late,eng,incong
incongruent_span,24,dog_GATO,1,707,1953,late,span,incong
congruent_eng,25,eye_EYE,1,557,1953,late,eng,cong
congruent_span,26,eye_OJO,1,666,1953,late,span,cong
incongruent_span,27,eye_MANO,1,730,1953,late,span,incong
incongruent_eng,28,eye_HAND,1,644,1953,late,eng,incong
congruent_eng,29,hand_HAND,1,635,1953,late,eng,cong
congruent_span,30,hand_MANO,1,676,1953,late,span,cong
incongruent_span,31,hand_BOCA,1,746,1953,late,span,incong
incongruent_eng,32,hand_MOUTH,1,736,1953,late,eng,incong
congruent_eng,33,mouth_MOUTH,1,820,1953,late,eng,cong
congruent_span,34,mouth_BOCA,1,626,1953,late,span,cong
incongruent_span,35,mouth_NARIZ,1,766,1953,late,span,incong
incongruent_eng,36,mouth_NOSE,1,1034,1953,late,eng,incong
congruent_eng,37,nose_NOSE,1,569,1953,late,eng,cong
congruent_span,38,nose_NARIZ,1,750,1953,late,span,cong
incongruent_eng,39,nose_HAND,1,739,1953,late,eng,incong
incongruent_span,40,nose_MANO,1,649,1953,late,span,incong
incongruent_span,41,strawberry_CARNE,1,1063,1953,late,span,incong
incongruent_eng,42,strawberry_CHEESE,1,829,1953,late,eng,incong
congruent_eng,43,strawberry_STRAWBERRY,1,729,1953,late,eng,cong
congruent_span,44,strawberry_FRESA,1,720,1953,late,span,cong
congruent_eng,1,apple_APPLE,1,862,2413,early,eng,cong
congruent_span,2,apple_MANZANA,1,1429,2413,early,span,cong
incongruent_eng,3,apple_MEAT,1,1282,2413,early,eng,incong
incongruent_span,4,apple_QUESO,1,974,2413,early,span,incong
congruent_eng,5,bird_BIRD,1,1093,2413,early,eng,cong
